time	X60kH_0.9W	X60kH_1.1W	X60kH_1.3W	X90kH_0.9W	X90kH_1.1W	X90kH_1.3W
0.000133	44.137	96.669	234.48	43.693	87.169	297.55
0.000133	44.162	90.355	220.43	43.693	80.962	282.99
0.000133	44.963	85.475	209.12	43.696	76.408	259.48
0.000133	54.288	81.544	199.71	43.731	72.864	241.69
0.000133	72.686	75.33	184.33	44.655	67.348	227.72
0.000133	111.83	70.767	172.46	53.286	63.393	216.37
0.000133	168.71	67.257	162.93	70.976	60.379	206.91
0.000133	242.11	61.891	155.03	109.33	55.779	191.58
0.000133	318.38	58.121	142.2	165.38	52.54	179.95
0.000133	375.2	55.286	132.45	237.26	50.091	170.8
0.000133	407.94	53.032	124.78	310.11	49.039	163.33
0.000133	420.35	49.572	118.54	361.89	49.039	151.32
0.000133	415.36	49.572	108.6	388.93	49.038	142.24
0.000133	399.03	49.572	101.25	395.52	49.038	135.04
0.000133	377.77	49.571	95.587	385.64	49.038	129.1
0.000133	356.3	49.571	91.029	365.94	49.038	119.47
0.000133	337.15	49.571	83.836	342.86	49.038	112.15
0.000134	321.21	49.57	78.561	320.84	49.038	106.36
0.000134	307.96	49.57	74.505	302	49.038	101.63
0.000134	286.91	49.569	71.248	286.89	49.042	94.076
0.000134	270.75	49.57	66.097	274.85	49.085	88.436
0.000134	257.56	49.602	62.304	256.93	50.216	84.044
0.000134	246.38	50.585	56.734	244.44	60.763	77.289
0.000134	227.62	61.978	54.784	234.86	81.052	72.481
0.000134	213.02	82.601	54.784	227.02	124.45	68.833
0.000134	201.39	124.93	54.784	220.13	188	65.922
0.000134	191.86	186.49	54.783	207.92	271.01	61.302
0.000134	176.61	267.97	54.782	197.76	358.48	57.889
0.000134	165.22	357.26	54.782	181.5	424.83	54.392
0.000134	156.31	429.9	54.782	169.31	463.96	54.392
0.000134	149.05	478.4	54.781	159.81	479.48	54.391
0.000134	142.93	505.1	54.781	152.15	474.08	54.391
0.000134	132.83	510.38	54.782	140.06	454.44	54.391
0.000134	124.94	498.96	54.818	131.2	428.08	54.391
0.000134	118.55	477.56	55.97	124.41	400.98	54.39
0.000135	108.42	452.42	69.437	118.95	376.64	54.39
0.000135	100.95	427.89	92.38	110.27	356.56	54.391
0.000135	95.164	406.16	138.73	103.81	340.34	54.395
0.000135	90.511	388.05	206.08	98.729	316.34	54.446
0.000136	83.171	372.8	296.3	94.568	299.89	55.785
0.000136	77.823	348.29	397.98	87.857	287.56	68.252
0.000137	73.73	329.27	492.37	82.8	277.67	90.575
0.000137	70.459	313.62	555.57	75.292	269.06	136.85
0.000138	65.329	300.2	590.94	70.203	253.84	204.64
0.000139	61.594	277.73	598.35	66.498	241.21	295.03
0.000141	56.174	260.11	584.07	63.616	220.99	394.58
0.000143	52.616	245.96	557.18	59.138	205.82	475.79
0.000145	50.052	234.3	526.03	55.927	193.99	529.9
0.000146	48.058	215.58	496.17	51.285	184.43	559.21
0.00015	45.024	201.52	470.16	48.235	176.5	563.88
0.00015	45.024	190.49	448.43	46.019	163.67	549.16
0.00015	45.023	181.49	430.46	44.642	153.97	522.75
0.00015	45.023	173.91	415.19	44.642	146.35	491.94
0.00015	45.023	161.39	389.78	44.642	140.12	461.99
0.00015	45.023	151.61	369.44	44.641	130.11	435.68
0.00015	45.022	143.68	352.44	44.641	122.54	414.12
0.00015	45.022	137.07	337.78	44.641	116.53	396.58
0.00015	45.021	126.31	313.06	44.641	111.58	370.18
0.00015	45.022	118.08	293.55	44.641	103.55	351.71
0.00015	45.046	111.57	277.81	44.641	97.453	337.67
0.00015	45.814	106.24	264.8	44.644	88.357	326.26
0.00015	55.075	97.737	253.8	44.678	82.144	316.33
0.00015	73.47	91.437	235.71	45.583	77.594	298.86
0.00015	112.66	86.555	221.67	54.164	74.05	284.31
0.00015	169.62	82.62	210.36	71.867	68.532	260.81
0.00015	243.11	76.413	200.95	110.27	64.57	243.04
0.00015	319.42	71.854	185.56	166.41	61.556	229.07
0.00015	376.21	68.34	173.7	238.33	56.948	217.73
0.00015	408.87	62.98	164.17	311.2	53.701	208.29
0.00015	421.17	59.207	156.26	362.92	51.243	192.98
0.00015	416.07	56.372	143.45	389.85	50.2	181.37
0.00015	399.68	54.115	133.72	396.32	50.2	172.22
0.00015	378.37	50.661	126.05	386.32	50.199	164.76
0.00015	356.9	50.661	119.8	366.56	50.199	152.74
0.00015	337.76	50.66	109.86	343.46	50.199	143.66
0.00015	321.84	50.66	102.52	321.45	50.199	136.46
0.00015	308.6	50.659	96.852	302.63	50.199	130.52
0.00015	287.57	50.659	92.292	287.55	50.199	120.89
0.00015	271.42	50.659	85.103	275.54	50.199	113.56
0.00015	258.23	50.658	79.835	257.65	50.203	107.78
0.00015	247.06	50.658	75.778	245.18	50.244	103.06
0.00015	228.31	50.659	72.518	235.61	51.351	95.495
0.00015	213.72	50.688	67.371	227.78	61.838	89.85
0.00015	202.09	51.632	63.577	220.89	82.145	85.466
0.00015	192.56	62.947	58.005	208.68	125.62	78.7
0.00015	177.32	83.57	56.058	198.54	189.3	73.889
0.00015	165.93	125.95	56.058	182.3	272.37	70.24
0.000151	157.02	187.58	56.057	170.12	359.89	67.318
0.000151	149.76	269.15	56.057	160.64	426.18	62.691
0.000151	143.64	358.51	56.056	152.98	465.17	59.268
0.000151	133.54	431.15	56.056	140.88	480.51	55.774
0.000151	125.66	479.58	56.056	132.03	474.95	55.774
0.000151	113.56	506.18	56.055	125.24	455.19	55.774
0.000151	105.75	511.34	56.055	119.78	428.77	55.773
0.000152	99.716	499.82	56.056	111.1	401.67	55.773
0.000152	94.851	478.35	56.09	104.63	377.35	55.773
0.000152	87.169	453.19	57.193	99.556	357.31	55.773
0.000153	81.556	428.66	70.569	95.395	341.13	55.773
0.000153	77.247	406.94	93.515	88.688	317.19	55.773
0.000153	73.8	388.84	139.94	83.641	300.77	55.777
0.000154	68.393	373.61	207.36	76.128	288.46	55.826
0.000155	64.454	349.12	297.71	71.041	278.57	57.138
0.000157	58.74	330.11	399.48	67.339	269.97	69.534
0.000158	54.998	314.46	493.88	64.454	254.75	91.879
0.00016	52.305	301.05	556.98	59.979	242.14	138.25
0.000162	50.216	278.58	592.21	56.77	221.94	206.2
0.000165	46.964	260.97	599.47	52.124	206.8	296.69
0.000167	45.812	246.82	585.07	49.073	194.98	396.33
